Site_long,Site,Dist,SIGNAL_code,plot,WAT_ksat_19_mm_d1
Dornburg,D_cr,Tree,D_AF_r1_T,D_AF_r1,8354.88
Dornburg,D_cr,1m,D_AF_r1_1m,D_AF_r1,
Dornburg,D_cr,4m,D_AF_r1_4m,D_AF_r1,
Dornburg,D_cr,7m,D_AF_r1_7m,D_AF_r1,487.3
Dornburg,D_cr,Tree,D_AF_r2_T,D_AF_r2,907.2
Dornburg,D_cr,1m,D_AF_r2_1m,D_AF_r2,
Dornburg,D_cr,4m,D_AF_r2_4m,D_AF_r2,
Dornburg,D_cr,7m,D_AF_r2_7m,D_AF_r2,9.24
Dornburg,D_cr,Tree,D_AF_r3_T,D_AF_r3,5564.16
Dornburg,D_cr,1m,D_AF_r3_1m,D_AF_r3,
Dornburg,D_cr,4m,D_AF_r3_4m,D_AF_r3,
Dornburg,D_cr,7m,D_AF_r3_7m,D_AF_r3,17971.2
Dornburg,D_cr,Tree,D_AF_r4_T,D_AF_r4,7905.6
Dornburg,D_cr,1m,D_AF_r4_1m,D_AF_r4,
Dornburg,D_cr,4m,D_AF_r4_4m,D_AF_r4,
Dornburg,D_cr,7m,D_AF_r4_7m,D_AF_r4,101.09
Dornburg,D_cr,MC,D_C_r1,D_C_r1,29980.8
Dornburg,D_cr,MC,D_C_r2,D_C_r2,17280
Dornburg,D_cr,MC,D_C_r3,D_C_r3,1762.56
Dornburg,D_cr,MC,D_C_r4,D_C_r4,3965.76
Dornburg,D_cr,24m,D_AF_r1_24m,D_AF_r1,
Dornburg,D_cr,24m,D_AF_r2_24m,D_AF_r2,
Dornburg,D_cr,24m,D_AF_r3_24m,D_AF_r3,
Dornburg,D_cr,24m,D_AF_r4_24m,D_AF_r4,
Dornburg,D_cr,AF,D_AF,D_AF,
Dornburg,D_cr,Conv,D_C,D_C,
Forst,F_cr,Tree,F_AF_r1_T,F_AF_r1,4536
Forst,F_cr,1m,F_AF_r1_1m,F_AF_r1,
Forst,F_cr,4m,F_AF_r1_4m,F_AF_r1,
Forst,F_cr,7m,F_AF_r1_7m,F_AF_r1,372.38
Forst,F_cr,Tree,F_AF_r2_T,F_AF_r2,613.44
Forst,F_cr,1m,F_AF_r2_1m,F_AF_r2,
Forst,F_cr,4m,F_AF_r2_4m,F_AF_r2,
Forst,F_cr,7m,F_AF_r2_7m,F_AF_r2,603.94
Forst,F_cr,Tree,F_AF_r3_T,F_AF_r3,2764.8
Forst,F_cr,1m,F_AF_r3_1m,F_AF_r3,
Forst,F_cr,4m,F_AF_r3_4m,F_AF_r3,
Forst,F_cr,7m,F_AF_r3_7m,F_AF_r3,203.04
Forst,F_cr,Tree,F_AF_r4_T,F_AF_r4,616.9
Forst,F_cr,1m,F_AF_r4_1m,F_AF_r4,
Forst,F_cr,4m,F_AF_r4_4m,F_AF_r4,
Forst,F_cr,7m,F_AF_r4_7m,F_AF_r4,757.73
Forst,F_cr,MC,F_C_r1,F_C_r1,4371.84
Forst,F_cr,MC,F_C_r2,F_C_r2,51062.4
Forst,F_cr,MC,F_C_r3,F_C_r3,2445.12
Forst,F_cr,MC,F_C_r4,F_C_r4,1088.64
Forst,F_cr,24m,F_AF_r1_24m,F_AF_r1,
Forst,F_cr,24m,F_AF_r2_24m,F_AF_r2,
Forst,F_cr,24m,F_AF_r3_24m,F_AF_r3,
Forst,F_cr,24m,F_AF_r4_24m,F_AF_r4,
Forst,F_cr,AF,F_AF,F_AF,
Forst,F_cr,Conv,F_C,F_C,
Mariensee_Antr,AM_gr,Tree,M_AF_r4_T,M_AF_r4,
Mariensee_Antr,AM_gr,1m,M_AF_r4_1m,M_AF_r4,
Mariensee_Antr,AM_gr,4m,M_AF_r4_4m,M_AF_r4,
Mariensee_Antr,AM_gr,7m,M_AF_r4_7m,M_AF_r4,
Mariensee_Antr,AM_gr,Tree,M_AF_r5_T,M_AF_r5,
Mariensee_Antr,AM_gr,1m,M_AF_r5_1m,M_AF_r5,
Mariensee_Antr,AM_gr,4m,M_AF_r5_4m,M_AF_r5,
Mariensee_Antr,AM_gr,7m,M_AF_r5_7m,M_AF_r5,
Mariensee_Antr,AM_gr,Tree,M_AF_r6_T,M_AF_r6,
Mariensee_Antr,AM_gr,1m,M_AF_r6_1m,M_AF_r6,
Mariensee_Antr,AM_gr,4m,M_AF_r6_4m,M_AF_r6,
Mariensee_Antr,AM_gr,7m,M_AF_r6_7m,M_AF_r6,
Mariensee_Antr,AM_gr,MC,M_C_r4,M_C_r4,
Mariensee_Antr,AM_gr,MC,M_C_r5,M_C_r5,
Mariensee_Antr,AM_gr,MC,M_C_r6,M_C_r6,
Mariensee_Antr,AM_gr,24m,M_AF_r4_24m,M_AF_r4,
Mariensee_Antr,AM_gr,24m,M_AF_r5_24m,M_AF_r5,
Mariensee_Antr,AM_gr,24m,M_AF_r6_24m,M_AF_r6,
Mariensee_Antr,AM_gr,AF,Ma_AF,Ma_AF,
Mariensee_Antr,AM_gr,Conv,Ma_C,Ma_C,
Mariensee_Hist,HM_gr,Tree,M_AF_r1_T,M_AF_r1,
Mariensee_Hist,HM_gr,1m,M_AF_r1_1m,M_AF_r1,
Mariensee_Hist,HM_gr,4m,M_AF_r1_4m,M_AF_r1,
Mariensee_Hist,HM_gr,7m,M_AF_r1_7m,M_AF_r1,
Mariensee_Hist,HM_gr,Tree,M_AF_r2_T,M_AF_r2,
Mariensee_Hist,HM_gr,1m,M_AF_r2_1m,M_AF_r2,
Mariensee_Hist,HM_gr,4m,M_AF_r2_4m,M_AF_r2,
Mariensee_Hist,HM_gr,7m,M_AF_r2_7m,M_AF_r2,
Mariensee_Hist,HM_gr,Tree,M_AF_r3_T,M_AF_r3,
Mariensee_Hist,HM_gr,1m,M_AF_r3_1m,M_AF_r3,
Mariensee_Hist,HM_gr,4m,M_AF_r3_4m,M_AF_r3,
Mariensee_Hist,HM_gr,7m,M_AF_r3_7m,M_AF_r3,
Mariensee_Hist,HM_gr,MC,M_C_r1,M_C_r1,
Mariensee_Hist,HM_gr,MC,M_C_r2,M_C_r2,
Mariensee_Hist,HM_gr,MC,M_C_r3,M_C_r3,
Mariensee_Hist,HM_gr,24m,M_AF_r1_24m,M_AF_r1,
Mariensee_Hist,HM_gr,24m,M_AF_r2_24m,M_AF_r2,
Mariensee_Hist,HM_gr,24m,M_AF_r3_24m,M_AF_r3,
Mariensee_Hist,HM_gr,AF,Mh_AF,Mh_AF,
Mariensee_Hist,HM_gr,Conv,Mh_C,Mh_C,
Wendhausen,W_cr,Tree,W_AF_r1_T,W_AF_r1,
Wendhausen,W_cr,1m,W_AF_r1_1m,W_AF_r1,
Wendhausen,W_cr,4m,W_AF_r1_4m,W_AF_r1,
Wendhausen,W_cr,7m,W_AF_r1_7m,W_AF_r1,
Wendhausen,W_cr,Tree,W_AF_r2_T,W_AF_r2,
Wendhausen,W_cr,1m,W_AF_r2_1m,W_AF_r2,
Wendhausen,W_cr,4m,W_AF_r2_4m,W_AF_r2,
Wendhausen,W_cr,7m,W_AF_r2_7m,W_AF_r2,
Wendhausen,W_cr,Tree,W_AF_r3_T,W_AF_r3,
Wendhausen,W_cr,1m,W_AF_r3_1m,W_AF_r3,
Wendhausen,W_cr,4m,W_AF_r3_4m,W_AF_r3,
Wendhausen,W_cr,7m,W_AF_r3_7m,W_AF_r3,
Wendhausen,W_cr,Tree,W_AF_r4_T,W_AF_r4,
Wendhausen,W_cr,1m,W_AF_r4_1m,W_AF_r4,
Wendhausen,W_cr,4m,W_AF_r4_4m,W_AF_r4,
Wendhausen,W_cr,7m,W_AF_r4_7m,W_AF_r4,
Wendhausen,W_cr,MC,W_C_r1,W_C_r1,
Wendhausen,W_cr,MC,W_C_r2,W_C_r2,
Wendhausen,W_cr,MC,W_C_r3,W_C_r3,
Wendhausen,W_cr,MC,W_C_r4,W_C_r4,
Wendhausen,W_cr,24m,W_AF_r1_24m,W_AF_r1,
Wendhausen,W_cr,24m,W_AF_r2_24m,W_AF_r2,
Wendhausen,W_cr,24m,W_AF_r3_24m,W_AF_r3,
Wendhausen,W_cr,24m,W_AF_r4_24m,W_AF_r4,
Wendhausen,W_cr,AF,W_AF,W_AF,
Wendhausen,W_cr,Conv,W_C,W_C,
